atts,setup,enc
1,3911,4027
2,4025,4165
3,4260,4365
4,4340,4456
5,4504,4730
6,4660,4770
7,4875,5052
8,4992,4986
9,5133,5405
10,5316,5369
11,5457,5521
12,5572,5672
13,5780,5870
14,5929,5975
15,6100,6122
16,6195,6292
17,6340,6610
18,6523,6700
19,6711,6853
20,6821,6812
21,6997,7089
22,7100,7266
23,7332,7584
24,7423,7337
25,7588,7853
26,7744,8043
27,7866,8316
28,7984,8244
29,8288,7961
30,8447,8407
